type,rate,db#,time,#page requests,tuple count,avg
0,10,0,4.696,293,2499,49622.2484994
0,10,1,6.051,288,2469,49989.6885379
0,10,2,4.759,290,2488,50619.090836
0,10,3,6.932,292,2502,50032.7458034
0,10,4,5.823,290,2488,50342.062701
0,10,5,5.275,294,2502,49601.9448441
0,10,6,4.857,296,2534,49851.4609313
0,10,7,4.846,291,2483,50308.0378574
0,10,8,5.219,288,2461,50234.2312068
0,10,9,4.856,292,2494,49442.4322374

0,20,0,5.226,293,4997,50227.2447468
0,20,1,7.255,288,4938,50044.7758202
0,20,2,5.126,290,4975,50245.9891457
0,20,3,6.581,292,5004,49800.4454436
0,20,4,5.226,290,4975,50060.9135678
0,20,5,5.287,294,5003,50156.6258245
0,20,6,5.46,296,5068,50241.7711129
0,20,7,7.04,291,4966,50334.1302859
0,20,8,6.176,288,4921,50108.6795367
0,20,9,5.448,292,4987,49865.5053138

0,30,0,6.489,293,7495,49938.9183456
0,30,1,5.43,288,7407,49901.2010261
0,30,2,5.435,290,7462,50202.4466631
0,30,3,7.237,292,7506,50073.9545697
0,30,4,7.352,290,7463,49884.6459869
0,30,5,5.563,294,7505,50141.8270486
0,30,6,5.776,296,7602,49957.9640884
0,30,7,5.662,291,7449,50268.7822527
0,30,8,5.491,288,7382,49842.86589
0,30,9,5.481,292,7481,49964.6487101

0,40,0,5.831,293,9993,50186.6957871
0,40,1,5.655,288,9876,49782.6582625
0,40,2,5.756,290,9950,50026.7820101
0,40,3,5.924,292,10007,49868.0130908
0,40,4,5.773,290,9950,49926.1917588
0,40,5,8.02,294,10006,50126.0964421
0,40,6,6.244,296,10136,50261.3565509
0,40,7,5.776,291,9932,49858.9826822
0,40,8,6.052,288,9842,50150.0362731
0,40,9,5.694,292,9974,50152.4488671

0,50,0,6.012,293,12491,49750.9077736
0,50,1,6.066,288,12344,49968.249838
0,50,2,6.009,290,12437,50121.2313259
0,50,3,6.158,292,12509,49825.0288592
0,50,4,6.1,290,12437,49875.5492482
0,50,5,5.978,294,12507,49727.541137
0,50,6,7.937,296,12670,49710.4134964
0,50,7,5.953,291,12414,50065.7924923
0,50,8,6.935,288,12302,50107.9239961
0,50,9,7.508,292,12468,49785.5223773

0,60,0,6.194,293,14990,50145.148966
0,60,1,6.468,288,14813,50054.6017687
0,60,2,6.252,290,14924,50126.0028813
0,60,3,6.39,292,15011,49873.6266072
0,60,4,6.172,290,14925,50053.0933333
0,60,5,7.013,294,15009,49951.3541875
0,60,6,7.042,296,15204,50031.9489608
0,60,7,6.264,291,14897,50443.1570786
0,60,8,6.293,288,14763,50089.6822462
0,60,9,10.59,292,14961,49826.0191164

0,70,0,6.605,293,17488,50026.2530878
0,70,1,6.551,288,17282,50016.1996297
0,70,2,7.681,290,17412,50005.4588789
0,70,3,6.787,292,17512,49787.7155665
0,70,4,6.643,290,17412,50120.6727544
0,70,5,6.678,294,17510,49767.5408909
0,70,6,13.559,296,17738,49922.3628932
0,70,7,6.82,291,17380,50205.7849252
0,70,8,6.622,288,17223,50125.0217732
0,70,9,6.62,292,17455,49852.8708107

